City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
抚州市,Fuzhou,132,65,3610,36,江西省,Jiangxi,0,72,230.4,22.625,0.00,38.66666667,0.433333333,26.45833333,56.29166667,5.041666667
上饶市,Shangrao,133,220,3611,36,江西省,Jiangxi,0,123,69.86,36.125,0.00,72.75,0.785416667,39,34.04166667,18.58333333
济南市,Jinan,134,117,3701,37,山东省,Shandong,0,47,345.97,49.83333333,0.00,84.29166667,0.909583333,41.79166667,31.58333333,21.70833333
青岛市,Qingdao,135,202,3702,37,山东省,Shandong,1,65,406,36.66666667,1.54,61.33333333,0.705833333,42.58333333,31.29166667,10
淄博市,Zibo,136,337,3703,37,山东省,Shandong,1,30,172.19,58.04166667,3.33,96.58333333,1.324583333,48.16666667,27,32.625
枣庄市,Zaozhuang,137,315,3704,37,山东省,Shandong,0,24,97.07,62.5,0.00,99.70833333,0.76,36.41666667,30.33333333,15.08333333
烟台市,Yantai,139,290,3706,37,山东省,Shandong,0,47,154.3,55.83333333,0.00,84.91666667,1.059583333,47.79166667,27.83333333,17.33333333
潍坊市,Weifang,140,255,3707,37,山东省,Shandong,0,44,129.06,60.625,0.00,98.79166667,0.809166667,50.25,18.75,12.54166667
济宁市,Jining,141,118,3708,37,山东省,Shandong,0,260,143.15,64.91666667,0.00,84.70833333,0.814583333,48.54166667,21.20833333,17.66666667
泰安市,Taian,142,242,3709,37,山东省,Shandong,2,35,83.87,58.04166667,5.71,89.70833333,0.7075,37.41666667,28,18.875
威海市,Weihai,143,254,3710,37,山东省,Shandong,1,38,80.89,39.5,2.63,61.5,0.798333333,27,41.45833333,9.541666667
日照市,Rizhao,144,209,3711,37,山东省,Shandong,0,16,74.82,53.54166667,0.00,96.79166667,1.166666667,52.79166667,20.83333333,23.16666667
临沂市,Linyi,146,156,3713,37,山东省,Shandong,0,49,184.71,70.45833333,0.00,107.2916667,0.958333333,49.75,21.41666667,20.75
德州市,Dezhou,147,54,3714,37,山东省,Shandong,2,37,80.82,59,5.41,99.04166667,0.915,43.875,23.75,16.66666667
聊城市,Liaocheng,148,151,3715,37,山东省,Shandong,0,38,79.99,52.75,0.00,89.20833333,0.755,46.04166667,27.16666667,13.29166667
滨州市,Binzhou,149,27,3716,37,山东省,Shandong,0,15,77.05,64.125,0.00,101.375,1.55125,63.29166667,15.91666667,32.79166667
菏泽市,Heze,150,93,3717,37,山东省,Shandong,0,18,91.08,46.70833333,0.00,94.83333333,0.476666667,35.54166667,23.66666667,10.66666667
郑州市,Zhengzhou,151,327,4101,41,河南省,Henan,5,157,374.05,50.91666667,3.18,78.16666667,0.825416667,47.875,24.75,10.625
开封市,Kaifeng,152,136,4102,41,河南省,Henan,0,26,99.1,70.25,0.00,86.83333333,0.688333333,34.70833333,27.20833333,10.75
洛阳市,Luoyang,153,165,4103,41,河南省,Henan,1,31,206.7,50.75,3.23,98.16666667,0.649166667,46.54166667,18.45833333,16.58333333
平顶山市,Pingdingshan,154,190,4104,41,河南省,Henan,1,58,94.55,59.45833333,1.72,96.70833333,0.85625,44.04166667,16.45833333,11.83333333
安阳市,Anyang,155,9,4105,41,河南省,Henan,0,53,75.48,57,0.00,89.70833333,1.165416667,55.16666667,16.5,20.08333333
鹤壁市,Hebi,156,95,4106,41,河南省,Henan,0,19,47.28,51.29166667,0.00,89.125,1.175833333,48.91666667,20.25,19.16666667
新乡市,Xinxiang,157,279,4107,41,河南省,Henan,3,57,78.78,42.91666667,5.26,77.58333333,0.637916667,48.125,21.125,12.66666667
焦作市,Jiaozuo,158,123,4108,41,河南省,Henan,1,32,80.1,49.79166667,3.13,97.16666667,0.881666667,48.95833333,16.45833333,16.875
濮阳市,Puyang,159,194,4109,41,河南省,Henan,0,17,58.5,59,0.00,77.33333333,0.74125,33.91666667,35.54166667,11
许昌市,Xuchang,160,287,4110,41,河南省,Henan,1,39,46.2,76.25,2.56,82.04166667,0.994166667,44.20833333,9.708333333,10.66666667
漯河市,Luohe,161,166,4111,41,河南省,Henan,0,36,60.44,77.33333333,0.00,105.9166667,0.535416667,41.66666667,13,8.458333333
三门峡市,Sanmenxia,162,210,4112,41,河南省,Henan,1,7,47.32,55.125,14.29,83.29166667,0.963333333,43.54166667,13.875,15.75
南阳市,Nanyang,163,183,4113,41,河南省,Henan,3,156,124.41,74.70833333,1.92,108.5,0.91625,38.08333333,18.875,12.08333333
商丘市,Shangqiu,164,218,4114,41,河南省,Henan,3,91,96.38,56.66666667,3.30,72,0.700833333,28.125,22.54166667,6.958333333
信阳市,Xinyang,165,281,4115,41,河南省,Henan,2,274,57.82,73.41666667,0.73,105.9166667,0.799166667,49.41666667,8.708333333,7.333333333
周口市,Zhoukou,166,332,4116,41,河南省,Henan,1,76,38.46,74.875,1.32,88.70833333,0.6675,38.79166667,14.04166667,10.08333333
