FIPS,County,DeathRate
39083,Knox County,0.69
39085,Lake County,0.88
39087,Lawrence County,1.2
39089,Licking County,1.08
39093,Lorain County,1.19
39095,Lucas County,1.95
39097,Madison County,0.84
39099,Mahoning County,2.03
39101,Marion County,1.57
39103,Medina County,1.16
39109,Miami County,0.87
39113,Montgomery County,0.97
39115,Morgan County,3.61
39121,Noble County,3.13
39133,Portage County,1.25
39135,Preble County,1.05
39145,Scioto County,1.06
39151,Stark County,1.64
39153,Summit County,2.09
39155,Trumbull County,2.44
39165,Warren County,0.72
39167,Washington County,1.15
39173,Wood County,1.61
40001,Adair County,0.67
40015,Caddo County,1.32
40017,Canadian County,0.46
40019,Carter County,0.49
40021,Cherokee County,0.49
40023,Choctaw County,0.55
40027,Cleveland County,0.78
40031,Comanche County,0.98
40037,Creek County,1.53
40039,Custer County,1.13
40043,Dewey County,0.66
40047,Garfield County,0.77
40069,Johnston County,1.09
40071,Kay County,1.14
40079,Le Flore County,0.8
40081,Lincoln County,1.5
40085,Love County,0.72
40097,Mayes County,0.92
40101,Muskogee County,0.76
40105,Nowata County,1.23
40109,Oklahoma County,0.72
40113,Osage County,0.89
40115,Ottawa County,1.05
40117,Pawnee County,1.29
40119,Payne County,0.48
40121,Pittsburg County,0.72
40125,Pottawatomie County,0.65
40133,Seminole County,1
40135,Sequoyah County,0.67
40143,Tulsa County,0.84
40147,Washington County,1.84
41003,Benton County,0.77
41005,Clackamas County,1.07
41009,Columbia County,1.66
41013,Crook County,1.51
41017,Deschutes County,0.59
41019,Douglas County,2.7
41025,Harney County,1.92
41029,Jackson County,1.23
41033,Josephine County,1.88
41035,Klamath County,1.15
41037,Lake County,1.83
41039,Lane County,1.25
41043,Linn County,1.22
41047,Marion County,1.44
41051,Multnomah County,1.51
41059,Umatilla County,0.95
41061,Union County,1.52
41065,Wasco County,2.21
41067,Washington County,0.89
42001,Adams County,2.1
42003,Allegheny County,1.94
42005,Armstrong County,2.05
42007,Beaver County,2.88
42011,Berks County,2.37
42013,Blair County,2.18
42015,Bradford County,1.77
42017,Bucks County,2.75
42021,Cambria County,2.97
42025,Carbon County,2.81
42027,Centre County,1.56
42029,Chester County,2.51
42033,Clearfield County,1.17
42041,Cumberland County,2.89
42043,Dauphin County,2.29
42045,Delaware County,3.1
42047,Elk County,1.38
42049,Erie County,2
42051,Fayette County,1.72
42055,Franklin County,2.62
42059,Greene County,1.1
42063,Indiana County,3.04
42069,Lackawanna County,2.76
42071,Lancaster County,2.48
42073,Lawrence County,2.9
42075,Lebanon County,1.71
